,상품명/가격
속초 중앙시장 맛집 반건조 임연수 30cm,"(￦5,900)"
"속초특산물 반건조생선 선물세트 4호(고등어2,임연수1,볼락1,가자미2,부세3)","(￦57,900)"
"속초특산물 반건조생선 선물세트 5호(고등어2,임연수1,볼락1,가자미2,부세3,민어2)","(￦76,900)"
"[속초반건조생선]선물세트5호(코다리3,가자미10,임연수2,우럭1,서대1)","(￦87,000)"
[맘스킹]속초선미수산 반건조생선 임연수 중(33cm내외) 3미,"(￦21,900)"
"[속초반건조생선]반건조 임연수(680g,특대35cm이상,2미)","(￦22,900)"
"[속초반건조생선]반건조 임연수(680g,특대35cm이상,2미)","(￦22,900)"
[맘스킹]속초선미수산 반건조생선 임연수 대(38cm내외) 2미,"(￦23,900)"
[속초반건조]부드러운 속살 특대 반건조 임연수 3미(36cm내외),"(￦24,500)"
[속초반건조]부드러운 속살 특대 반건조 임연수 3미(36cm내외),"(￦24,500)"
[속초반건조]부드러운 속살 특대 반건조 임연수 5미(36cm내외),"(￦35,500)"
[속초반건조]부드러운 속살 특대 반건조 임연수 5미(36cm내외),"(￦35,500)"
[속초반건조]부드러운 속살 특대 반건조 임연수 5미(36cm이상),"(￦39,900)"
"[속초반건조생선]반건조 임연수(1700g,특대35cm이상,5미)","(￦41,000)"
[속초반건조]부드러운 속살 특대 반건조 임연수 7미(36cm내외),"(￦43,500)"
[속초반건조]부드러운 속살 특대 반건조 임연수 7미(36cm내외),"(￦43,500)"
"[속초반건조생선]반건조 임연수(1700g,특대35cm이상,5미)","(￦44,900)"
[속초반건조]부드러운 속살 특대 반건조 임연수 7미(36cm이상),"(￦51,900)"
[속초반건조]부드러운 속살 특대 반건조 임연수 7미(36cm이상),"(￦51,900)"
"[속초반건조생선]선물세트3호(코다리3,가자미10,임연수1)","(￦55,000)"
"속초특산물 반건조생선 선물세트 4호(고등어2,임연수1,볼락1,가자미2,부세3)","(￦57,900)"
"속초특산물 반건조생선 선물세트 4호(고등어2,임연수1,볼락1,가자미2,부세3)","(￦57,900)"
"속초특산물 반건조생선 선물세트 2호(가자미2,고등어1,볼락1,열기2,코다리2,임연수1)","(￦63,500)"
"속초특산물 반건조생선 선물세트 2호(가자미2,고등어1,볼락1,열기2,코다리2,임연수1)","(￦63,500)"
"속초특산물 반건조생선 선물세트 2호(가자미2,고등어1,볼락1,열기2,코다리2,임연수1)","(￦63,500)"
"속초특산물 반건조생선 선물세트 5호(고등어2,임연수1,볼락1,가자미2,부세3,민어2)","(￦76,900)"
"속초특산물 반건조생선 선물세트 5호(고등어2,임연수1,볼락1,가자미2,부세3,민어2)","(￦76,900)"
"속초특산물 반건조생선 선물세트 3호(가자미2,고등어1,볼락1,열기2,코다리2,임연수1,민어2)","(￦82,500)"
"속초특산물 반건조생선 선물세트 3호(가자미2,고등어1,볼락1,열기2,코다리2,임연수1,민어2)","(￦82,500)"
"속초특산물 반건조생선 선물세트 3호(가자미2,고등어1,볼락1,열기2,코다리2,임연수1,민어2)","(￦82,500)"
"[속초반건조생선]선물세트5호(코다리3,가자미10,임연수2,우럭1,서대1)","(￦86,000)"
"[속초반건조생선]선물세트10호(코다리3,금조기3,참가자미2,열기2,임연수3)","(￦171,900)"
"[속초반건조생선]선물세트10호(코다리3,금조기3,참가자미2,열기2,임연수3)","(￦172,000)"
속초 중앙시장 맛집 반건조 임연수 30cm 2마리,"(￦13,900)"
속초반건조 특산물 생선 모음전(고등어/볼락/가자미/임연수/코다리),"(￦17,900)"
[속초반건조]부드러운 속살 특대 반건조 임연수 5미(36cm이상),"(￦39,900)"
"[속초반건조생선]선물세트3호(코다리3,가자미10,임연수1)","(￦55,000)"
속초 중앙시장 맛집 반건조 생선,"(￦8,900)"
속초 중앙시장 맛집 반건조 생선 1마리,"(￦3,900)"
