,TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_ID,ORG_ID,UNIT_NM,UNIT_NM_ENG,C1_OBJ_NM,DT,PRD_SE,C1,C1_NM
0,코스닥 시장 등록 기업 수 변화,2003,TX_14203_A111,벤처기업수,16142AAG2,142,개,number,연도별,114,A,15142AE9D2,1998년
1,코스닥 시장 등록 기업 수 변화,2003,TX_14203_A111,벤처기업비율,16142AAL2,142,%,%,연도별,34,A,15142AE9D2,1998년
2,코스닥 시장 등록 기업 수 변화,2003,TX_14203_A111,시가총액,16142AAL3,142,십억원,Billion Won,연도별,7892,A,15142AE9D2,1998년
3,코스닥 시장 등록 기업 수 변화,2003,TX_14203_A111,벤처기업수,16142AAG2,142,개,number,연도별,173,A,15142AE9D3,1999년
4,코스닥 시장 등록 기업 수 변화,2003,TX_14203_A111,벤처기업비율,16142AAL2,142,%,%,연도별,38,A,15142AE9D3,1999년
5,코스닥 시장 등록 기업 수 변화,2003,TX_14203_A111,시가총액,16142AAL3,142,십억원,Billion Won,연도별,98704,A,15142AE9D3,1999년
6,코스닥 시장 등록 기업 수 변화,2003,TX_14203_A111,벤처기업수,16142AAG2,142,개,number,연도별,244,A,15142AE9D4,2000년
7,코스닥 시장 등록 기업 수 변화,2003,TX_14203_A111,벤처기업비율,16142AAL2,142,%,%,연도별,40,A,15142AE9D4,2000년
8,코스닥 시장 등록 기업 수 변화,2003,TX_14203_A111,시가총액,16142AAL3,142,십억원,Billion Won,연도별,29016,A,15142AE9D4,2000년
9,코스닥 시장 등록 기업 수 변화,2003,TX_14203_A111,벤처기업수,16142AAG2,142,개,number,연도별,353,A,15142AE9D5,2001년
10,코스닥 시장 등록 기업 수 변화,2003,TX_14203_A111,벤처기업비율,16142AAL2,142,%,%,연도별,49,A,15142AE9D5,2001년
11,코스닥 시장 등록 기업 수 변화,2003,TX_14203_A111,시가총액,16142AAL3,142,십억원,Billion Won,연도별,51818,A,15142AE9D5,2001년
12,코스닥 시장 등록 기업 수 변화,2003,TX_14203_A111,벤처기업수,16142AAG2,142,개,number,연도별,374,A,15142AE9D6,2002년 6월말
13,코스닥 시장 등록 기업 수 변화,2003,TX_14203_A111,벤처기업비율,16142AAL2,142,%,%,연도별,46,A,15142AE9D6,2002년 6월말
14,코스닥 시장 등록 기업 수 변화,2003,TX_14203_A111,시가총액,16142AAL3,142,십억원,Billion Won,연도별,49146,A,15142AE9D6,2002년 6월말
